"","KOM202","KOM207","KOM321","CLASS"
"21","A","A","AB","BAIK"
"57","AB","B","BC","CUKUP"
"30","AB","B","BC","BAIK"
"62","AB","A","C","CUKUP"
"65","AB","A","A","CUKUP"
"4","A","A","B","BAIK"
"36","BC","A","AB","BAIK"
"59","B","B","D","CUKUP"
"67","C","BC","D","CUKUP"
"71","C","B","B","CUKUP"
"61","B","AB","C","CUKUP"
"29","AB","A","C","BAIK"
"42","A","A","B","CUKUP"
"35","B","B","D","BAIK"
"7","AB","A","BC","BAIK"
"53","C","AB","C","CUKUP"
"15","A","A","B","BAIK"
"3","A","A","BC","BAIK"
"19","A","A","A","BAIK"
"52","AB","A","BC","CUKUP"
"48","C","C","D","CUKUP"
"37","B","A","C","CUKUP"
"33","AB","A","B","BAIK"
"50","AB","AB","BC","CUKUP"
"51","A","A","AB","CUKUP"
"60","AB","AB","BC","CUKUP"
"26","B","A","BC","BAIK"
"28","A","A","B","BAIK"
"14","B","B","BC","BAIK"
"8","AB","A","A","BAIK"
"12","A","A","C","BAIK"
"69","B","BC","C","CUKUP"
"5","B","AB","AB","BAIK"
"45","A","AB","A","CUKUP"
"13","AB","A","AB","BAIK"
"58","BC","BC","C","CUKUP"
"49","A","A","A","CUKUP"
"68","A","AB","BC","CUKUP"
"44","A","A","BC","CUKUP"
"31","A","A","B","BAIK"
"27","B","B","BC","BAIK"
"73","BC","BC","D","CUKUP"
"2","A","A","A","BAIK"
"10","B","A","C","BAIK"
"17","B","AB","D","BAIK"
"56","B","B","BC","CUKUP"
"11","A","AB","BC","BAIK"
"46","A","A","BC","CUKUP"
"20","A","A","AB","BAIK"
"47","B","AB","BC","CUKUP"
"40","B","B","BC","CUKUP"
"6","A","A","B","BAIK"
"9","B","A","AB","BAIK"
"23","BC","A","BC","BAIK"
"54","C","C","BC","CUKUP"
"24","A","AB","B","BAIK"
"34","A","A","B","BAIK"
"18","A","A","AB","BAIK"
"72","C","BC","D","CUKUP"
"43","A","A","B","CUKUP"
"16","A","A","A","BAIK"
"64","AB","A","B","CUKUP"
"22","B","AB","B","BAIK"
"25","B","AB","BC","BAIK"
"39","C","B","C","CUKUP"
