"","MAT103","MAT217","CLASS"
"9","A","A","BAIK"
"23","B","BC","CUKUP"
"12","A","B","BAIK"
"24","B","B","CUKUP"
"25","B","C","CUKUP"
"2","C","B","BAIK"
"13","A","AB","BAIK"
"21","D","BC","CUKUP"
"27","B","AB","CUKUP"
"10","A","A","BAIK"
"20","A","A","CUKUP"
"30","C","C","CUKUP"
"14","AB","B","BAIK"
"4","B","C","BAIK"
"1","A","A","BAIK"
"15","A","A","BAIK"
"11","A","AB","BAIK"
"19","D","D","CUKUP"
"7","B","AB","BAIK"
"6","A","A","BAIK"
"17","D","BC","CUKUP"
"28","BC","B","CUKUP"
"8","A","A","BAIK"
"3","A","B","BAIK"
"16","BC","C","CUKUP"
"18","C","D","CUKUP"
"5","B","AB","BAIK"
