"","KOM202","KOM331","CLASS"
"30","A","A","BAIK"
"82","B","D","CUKUP"
"42","B","AB","BAIK"
"90","BC","C","CUKUP"
"95","BC","C","CUKUP"
"5","AB","A","BAIK"
"52","A","A","BAIK"
"87","B","C","CUKUP"
"53","BC","BC","CUKUP"
"44","B","D","BAIK"
"101","A","C","CUKUP"
"43","A","BC","BAIK"
"63","A","C","CUKUP"
"96","A","C","CUKUP"
"10","BC","AB","BAIK"
"81","BC","BC","CUKUP"
"22","BC","BC","BAIK"
"4","A","B","BAIK"
"29","A","AB","BAIK"
"103","A","B","CUKUP"
"75","C","BC","CUKUP"
"58","AB","BC","CUKUP"
"91","B","AB","CUKUP"
"89","A","BC","CUKUP"
"85","B","AB","CUKUP"
"56","B","C","CUKUP"
"93","BC","D","CUKUP"
"46","A","B","BAIK"
"88","B","C","CUKUP"
"12","B","B","BAIK"
"72","A","AB","CUKUP"
"66","B","BC","CUKUP"
"50","B","A","BAIK"
"57","AB","BC","CUKUP"
"2","B","BC","BAIK"
"33","A","B","BAIK"
"98","BC","BC","CUKUP"
"15","B","A","BAIK"
"21","A","A","BAIK"
"16","A","BC","BAIK"
"94","B","C","CUKUP"
"27","BC","B","BAIK"
"102","A","BC","CUKUP"
"7","A","B","BAIK"
"86","B","C","CUKUP"
"11","A","AB","BAIK"
"51","B","BC","BAIK"
"36","A","C","BAIK"
"68","BC","BC","CUKUP"
"17","AB","AB","BAIK"
"104","B","D","CUKUP"
"99","A","D","CUKUP"
"45","BC","BC","BAIK"
"84","A","BC","CUKUP"
"69","BC","D","CUKUP"
"18","A","AB","BAIK"
"31","B","B","BAIK"
"38","A","A","BAIK"
"74","C","C","CUKUP"
"65","BC","C","CUKUP"
"62","C","D","CUKUP"
"73","C","BC","CUKUP"
"61","A","BC","CUKUP"
"1","B","A","BAIK"
"79","C","AB","CUKUP"
"55","A","D","CUKUP"
"49","B","BC","BAIK"
"77","A","BC","CUKUP"
"60","AB","BC","CUKUP"
"54","C","BC","CUKUP"
"6","B","BC","BAIK"
"35","BC","BC","BAIK"
"34","B","D","BAIK"
"71","BC","BC","CUKUP"
"25","B","BC","BAIK"
"59","B","BC","CUKUP"
"39","B","A","BAIK"
"32","AB","B","BAIK"
"100","B","AB","CUKUP"
"20","B","BC","BAIK"
"70","C","C","CUKUP"
"19","AB","A","BAIK"
"78","B","AB","CUKUP"
"8","BC","B","BAIK"
"97","BC","BC","CUKUP"
"83","BC","BC","CUKUP"
"47","A","BC","BAIK"
"37","A","A","BAIK"
"40","A","BC","BAIK"
"80","B","C","CUKUP"
"41","B","AB","BAIK"
"28","BC","BC","BAIK"
"76","A","BC","CUKUP"
"13","A","BC","BAIK"
